stock_code,is_success
002036.XSHE,False
002037.XSHE,False
002038.XSHE,False
002039.XSHE,False
002040.XSHE,False
002041.XSHE,False
002042.XSHE,False
002043.XSHE,False
002044.XSHE,False
002045.XSHE,False
002046.XSHE,False
002047.XSHE,False
002048.XSHE,False
002049.XSHE,False
002050.XSHE,False
002051.XSHE,False
002052.XSHE,False
002053.XSHE,False
002054.XSHE,False
002055.XSHE,False
002056.XSHE,False
002057.XSHE,False
002058.XSHE,False
002059.XSHE,False
002060.XSHE,False
002061.XSHE,False
002062.XSHE,False
002063.XSHE,False
002064.XSHE,False
002065.XSHE,False
002066.XSHE,False
002067.XSHE,False
002068.XSHE,False
002069.XSHE,False
002070.XSHE,False
002071.XSHE,False
002072.XSHE,False
002073.XSHE,False
002074.XSHE,False
002075.XSHE,False
002076.XSHE,False
002077.XSHE,False
002078.XSHE,False
002079.XSHE,False
002080.XSHE,False
002081.XSHE,False
002082.XSHE,False
002083.XSHE,False
002084.XSHE,False
002085.XSHE,False
002086.XSHE,False
002087.XSHE,False
002088.XSHE,False
002089.XSHE,False
002090.XSHE,False
002091.XSHE,False
002092.XSHE,False
002093.XSHE,False
002094.XSHE,False
002095.XSHE,False
002096.XSHE,False
002097.XSHE,False
002098.XSHE,False
002099.XSHE,False
002100.XSHE,False
002101.XSHE,False
002102.XSHE,False
002103.XSHE,False
002104.XSHE,False
002105.XSHE,False
002106.XSHE,False
002107.XSHE,False
002108.XSHE,False
002109.XSHE,False
002110.XSHE,False
002111.XSHE,False
002112.XSHE,False
002113.XSHE,False
002114.XSHE,False
002115.XSHE,False
002116.XSHE,False
002117.XSHE,False
002118.XSHE,False
002119.XSHE,False
002120.XSHE,False
002121.XSHE,False
002122.XSHE,False
002123.XSHE,False
002124.XSHE,False
002125.XSHE,False
002126.XSHE,False
002127.XSHE,False
002128.XSHE,False
002129.XSHE,False
002130.XSHE,False
002131.XSHE,False
002132.XSHE,False
002133.XSHE,False
002134.XSHE,False
002135.XSHE,False
002136.XSHE,False
